name,network,category,address,lat,lon,geocode_source
Hale Hoʻomalu,Hawaii Foodbank,pantry,"4-1112 Kuhio Hwy., Kapaʻa, HI 96746",22.0692862,-159.3191473,provider
Hanapēpē Salvation Army,Hawaii Foodbank,meals,"4465 Puolo Rd., Hanapēpē, HI 96716",21.9071472,-159.5928761,provider
Hawaii Health & Harm Reduction Center @ Kakaako (Walk Up),Hawaii Foodbank,produce,"653 Ala Moana Blvd. Honolulu, HI 96813",21.298222561175,-157.862469760819,provider
Hawaii Health & Harm Reduction Center @ UH Manoa (Walk Up),Hawaii Foodbank,produce,"2465 Campus Rd. Honolulu, HI 96822",21.299303234475,-157.819175472901,provider
Hawaiian Humane Society Pet Food Only.,Hawaii Foodbank,pantry,"91-1945 Fort Weaver Rd. Ewa Beach, HI 96706",21.3352,-158.01,manual
Hawaiian Humane Society Pet Food Only.,Hawaii Foodbank,pantry,"2700 Waialae Ave. Honolulu, HI 96826",21.290167519571,-157.818510878399,provider
Ho 'Ala 'Aina Kupono (Drive Thru),Hawaii Foodbank,produce,"52-260 Kahana Valley Rd. Hauula, HI 96717",21.556,-157.877,manual
Ho'omana Thrift Store,Hawaii Foodbank,pantry,"4531 Kuamoʻo Rd., HI 96746, Kapaʻa, Kauaʻi, HI",22.0474586,-159.336502,provider
Holy Cross Church,Hawaii Foodbank,pantry,"2-2370 Kaumualiʻi Hwy., Kalāheo, HI 96741",21.9252848,-159.5286819,provider
Honolulu Fil-am S.D.A Church,Hawaii Foodbank,pantry,"2232 Kanealii Ave. Honolulu, HI 96813",21.320472639391,-157.845566159072,provider
Hope Chapel Kahuku @ Kahuku Medical Center - Trailers (Drive Thru & Walk Up),Hawaii Foodbank,produce,"56-117 Pualalea St. Kahuku, HI 96731",21.676647940829,-157.952342159009,provider
Hui Mahiai Aina @ Waimanalo District Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"41-415 Hihimanu St. Waimanalo, HI 96795",21.342352205932,-157.71850414875,provider
Hui O Hau'ula,Hawaii Foodbank,pantry,"54-010 Kukuna Rd. Hauula, HI 96717",21.60887038078,-157.909771572374,provider
Hui O Hauula @Hauula Beach Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"54-135 Kamehameha Hwy. Hauula, HI 96717",21.611707411599,-157.911081581566,provider
Immaculate Conception Church,Hawaii Foodbank,pantry,"91-1298 Renton Rd. Ewa Beach, HI 96706",21.345364647369,-158.032227778711,provider
Immaculate Conception Church (Walk Up),Hawaii Foodbank,produce,"91-1298 Renton Rd. Ewa Beach, HI 96706",21.345364647369,-158.032227778711,provider
Inspire Church @ Patsy T Mink Central Oahu Regional Park Online registration only. (Drive Thru & Walk Up),Hawaii Foodbank,produce,"94-801 Kamehameha Hwy. Waipahu, HI 96797",21.421537168403,-158.00728789613,provider
Inspire Church By Appt Only.,Hawaii Foodbank,pantry,"94-877 Lumiaina St. Bldg 12 Waipahu, HI 96797",21.400198911551,-158.003480598338,provider
Institute For Human Services (Walk Up),Hawaii Foodbank,produce,"350 Sumner St. Honolulu, HI 96817",21.315500816324,-157.867503634717,provider
Institute For Human Services Kahauiki Village (Walk Up),Hawaii Foodbank,produce,"2475 N Nimitz Hwy. Honolulu, HI 96819",21.332724997267,-157.891021250809,provider
Institute for Human Services,Hawaii Foodbank,meals,"350 Sumner St. Honolulu, HI 96817",21.315500816324,-157.867503634717,provider
Island Family Christian Church Online registration only. (Drive Thru & Walk Up),Hawaii Foodbank,produce,"3375 Salt Lake Blvd. Honolulu, HI 96818",21.344874300875,-157.916609540482,provider
Jesus Reigns Ministries,Hawaii Foodbank,pantry,"94-325 Mokuola St. Waipahu, HI 96797",21.386103466102,-158.003773234014,provider
KEY Project,Hawaii Foodbank,pantry,"47-200 Waihee Rd. Kaneohe, HI 96744",21.45794428646,-157.843603589896,provider
Ka Hana O Ke Akua UCC By Appt Only.,Hawaii Foodbank,pantry,"86-311 Lualualei Homestead Rd. Waianae, HI 96792",21.440496395632,-158.170488880518,provider
Kai Olino,Hawaii Foodbank,mobile,"Kai Olino 61 Okupu Street 'Ele'ele, HI 96705 808-265-0684 ʻEleʻele Last Thursday of the month 12:00 - 1:00 p.m.",21.9052,-159.5825,manual
Kalihi Union Church (Walk Up),Hawaii Foodbank,produce,"2214 North King St. Honolulu, HI 96819",21.335119117662,-157.881025114777,provider
Kapaʻa Missionary Church,Hawaii Foodbank,pantry,"4-758 Kuhio Hwy, Kapaʻa, HI 96746",22.0601253,-159.3218962,provider
Kapaʻa Missionary Church,Hawaii Foodbank,meals,"4-758 Kuhio Hwy, Kapaʻa, HI 96746",22.060072,-159.3218324,provider
Kapaʻa United Church of Christ,Hawaii Foodbank,pantry,"1315 Ulu St, Kapaʻa, HI 96746",22.0747538,-159.3197449,provider
Kapaʻa United Church of Christ,Hawaii Foodbank,meals,"1315 Ulu Street, Kapaʻa, HI 96746",22.0747742,-159.3197969,provider
Kapiolani Community College - Pohukaina Food Pantry Online registration only.,Hawaii Foodbank,pantry,"4303 Diamond Head Rd. `iliahi 231 Honolulu, HI 96816 (Parking in lower Lot B.)",21.268094331918,-157.800405607361,provider
Kapolei Samoa - Tonga SDA Church,Hawaii Foodbank,pantry,"91-1037 Lexington St. Kapolei, HI 96707",21.316243565795,-158.073694886551,provider
Kauai Economic Opportunity,Hawaii Foodbank,pantry,2804 Wehe Rd. Līhuʻe HI 96766,21.9714435,-159.3745845,provider
Kauaʻi Bible Church,Hawaii Foodbank,pantry,"2-4131 Kauamualiʻi Rd., Koloa, HI 96756, ʻŌmaʻo, Kauaʻi, HI",21.9274188,-159.4903275,provider
Kaumakapili Church,Hawaii Foodbank,pantry,"766 N King St. Honolulu, HI 96817",21.321280878372,-157.866701329817,provider
Kekaha Neighborhoood Center,Hawaii Foodbank,mobile,"Kekaha Neighborhoood Center 8130 Elepaio Rd, Kekaha, HI 96752 808-265-0684 Kekaha Second Tuesday of the month 4:00 - 6:00 p.m.",21.9686,-159.7181,manual
Key Project (Walk Up),Hawaii Foodbank,produce,"47-200 Waihee Rd. Kaneohe, HI 96744",21.45794428646,-157.843603589896,provider
Key Project @ Kahuku Community Association (Walk Up),Hawaii Foodbank,produce,"56-576 Kamehameha Hwy. Kahuku, HI 96731",21.678,-157.952,manual
King's Cathedral Oahu (Drive Thru & Walk Up),Hawaii Foodbank,produce,"5740 Kalanianaole Hwy. Honolulu, HI 96821",21.3753273,-157.7805990,provider
Kingʻs Chapel Lihue,Hawaii Foodbank,pantry,"4368 Kukui Grove Street, Lihue, Kauaʻi, HI",21.9714313,-159.3760581,provider
Leeward Community Church @ Chinese Christian Alliance Church (Drive Thru & Walk Up),Hawaii Foodbank,produce,"87-1624 Farrington Hwy. Waianae, HI 96792",21.394888768562,-158.160102070098,provider
Leeward Community Church Online registration only. (Drive Thru & Walk Up),Hawaii Foodbank,produce,"1860 Komo Mai Dr. Pearl City, HI 96782",21.415493855932,-157.961581308908,provider
Lighthouse Outreach Center (Walk Up),Hawaii Foodbank,produce,"94-230 Leokane St. Waipahu, HI 96797",21.380033509637,-158.019678926993,provider
Lima Ola,Hawaii Foodbank,mobile,"Lima Ola 428 Kahunaone Street 'Ele'ele, HI 96705 808-265-0684 ʻEleʻele Last Thursday of the month 2:00 - 4:00 p.m.",21.906,-159.581,manual
Līhuʻe Salvation Army,Hawaii Foodbank,pantry,"4182 Hardy St., Līhuʻe, HI 96766",21.9729681,-159.3629828,provider
Līhuʻe Salvation Army,Hawaii Foodbank,meals,"4182 Hardy St, Līhuʻe, HI 96766",21.9729766,-159.3629929,provider
Message of Peace @Asing Community Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"91-1450 Renton Rd. Ewa Beach, HI 96706",21.35002154331,-158.025307733168,provider
Mutual Housing Association Online registration only. (Walk Up),Hawaii Foodbank,produce,"2170 Ahe St. Honolulu, HI 96816",21.30112754173,-157.793289584976,provider
Nana's House (Child & Family Service),Hawaii Foodbank,pantry,"9875 Waimea Rd., Waimea, HI 96796",21.9551665,-159.667228,provider
Nanaikapono Protestant Church,Hawaii Foodbank,pantry,"89-235 Pua Ave. Waianae, HI 96792",21.380448682258,-158.142417500832,provider
Nanaikapono Protestant Church (Walk Up),Hawaii Foodbank,produce,"89-235 Pua Ave. Waianae, HI 96792",21.380448682258,-158.142417500832,provider
New Hope International Ministries @ Pacific Rim Christian University,Hawaii Foodbank,pantry,"2223 Hoonee Pl. Honolulu, HI 96819",21.327602896734,-157.888240150037,provider
New Hope Kapolei Ministry Center,Hawaii Foodbank,pantry,"94-199 Leonui St. Waipahu, HI 96797",21.378059995269,-158.020309706297,provider
New Life Body of Christ Christian Church,Hawaii Foodbank,pantry,"74 S. Kamehameha Hwy. Wahiawa, HI 96786",21.494885996043,-158.029320600158,provider
Olivet Baptist Church,Hawaii Foodbank,pantry,"1775 S Beretania St. Honolulu, HI 96826",21.297586718472,-157.832382469554,provider
Once A Month Church @ Kaiaka Bay Beach Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"66-449 Haleiwa Rd. Haleiwa, HI 96712",21.586542801769,-158.112204265446,provider
Our Lady of Mount Carmel Church,Hawaii Foodbank,pantry,"48-422 Kamehameha Hwy. Kaneohe, HI 96744",21.496124103232,-157.851931170199,provider
Our Lady of Perpetual Help,Hawaii Foodbank,pantry,"91-1004 North Rd. Ewa Beach, HI 96706",21.316259625778,-158.006529118005,provider
Our Lady of Sorrows,Hawaii Foodbank,pantry,"1403 California Ave. Wahiawa, HI 96786",21.503009290945,-158.016123494596,provider
PACT KPT Family Center (Walk Up),Hawaii Foodbank,produce,"1485 Linapuni St. Ste 103 Honolulu, HI 96819",21.338102245766,-157.877113703509,provider
Palama Settlement,Hawaii Foodbank,pantry,"810 N. Vineyard Blvd. Honolulu, HI 96817",21.322814243184,-157.864121670333,provider
Palama Settlement @ Kaahumanu Homes (Walk Up),Hawaii Foodbank,produce,760 McNeill St. Bldg. 16 Honolulu HI 96819,21.3255,-157.873,manual
Paradise Chapel,Hawaii Foodbank,pantry,"87-125 Maipalaoa Rd. Waianae, HI 96792",21.408230939587,-158.176421927986,provider
Parents And Children Together- KPT Family Center,Hawaii Foodbank,pantry,"1485 Linapuni St. Suite 103 Honolulu, HI 96819",21.338102245766,-157.877113703509,provider
Pearlside Church Online registration only. (Drive Thru & Walk Up),Hawaii Foodbank,produce,"98-751 Kuahao Pl. Aiea, HI 96701",21.3915461,-157.9536259,provider
Private Sector Hawaii By Appt Only.,Hawaii Foodbank,pantry,"Haleiwa, HI 96712",21.5876272,-158.1035648,provider
Project Aloha Care (Walk Up),Hawaii Foodbank,produce,"626 McNeil St. Honolulu, HI 96817",21.325,-157.872,manual
Reality Church @ Ke'elikolani Middle School (Drive Thru & Walk Up),Hawaii Foodbank,produce,1302 Queen Emma St. Honolulu HI 96813,21.310807434712,-157.85687325654,provider
Residential Youth Serivces and Empowerment (RYSE),Hawaii Foodbank,pantry,"42-470 Kalanianaole Hwy. Bldg 6 Kailua, HI 96734",21.36,-157.723,manual
River of Life Mission,Hawaii Foodbank,pantry,"101 N. Pauahi St. Honolulu, HI 96817",21.3127730,-157.8622780,provider
River of Life Mission,Hawaii Foodbank,meals,"101 N Pauahi St. Honolulu, HI 96817",21.3127730,-157.8622790,provider
St. Ann's Church By Appt Only.,Hawaii Foodbank,pantry,"46-129 Haiku Rd. Kaneohe, HI 96744",21.421168914244,-157.806047769033,provider
St. Anthony's Outreach,Hawaii Foodbank,pantry,"114 Makawao St. Kailua, HI 96734",21.400775460738,-157.738352006305,provider
St. Catherine Parish (K007A),Hawaii Foodbank,pantry,"5021 Kawaihau Rd., Kapaʻa, HI 96746",22.0916259,-159.3165748,provider
St. Elizabeth Catholic Church,Hawaii Foodbank,pantry,"99-312 Moanalua Rd. Aiea, HI 96701",21.376485814513,-157.93022125522,provider
St. Elizabeth Catholic Church,Hawaii Foodbank,meals,"99-312 Moanalua Rd. Aiea, HI 96701",21.376485814513,-157.93022125522,provider
St. Elizabeth’s Episcopal Church,Hawaii Foodbank,pantry,"720 North King St. Honolulu, HI 96817",21.320802050799,-157.866350423541,provider
St. Elizabeth’s Episcopal Church,Hawaii Foodbank,meals,"720 N King St. Honolulu, HI 96817",21.320802050799,-157.866350423541,provider
St. Joseph Church,Hawaii Foodbank,pantry,"94-675 Farrington Hwy. Waipahu, HI 96797",21.383187508122,-158.007977250439,provider
St. Jude Catholic Church,Hawaii Foodbank,pantry,"92-455 Makakilo Dr. Kapolei, HI 96707",21.340527069255,-158.07625468745,provider
St. Mark Lutheran Church,Hawaii Foodbank,pantry,"45-725 Kamehameha Hwy. Kaneohe, HI 96744",21.407590806708,-157.799215687597,provider
St. Michael Parish Outreach,Hawaii Foodbank,pantry,"67-340 Haona St. Waialua, HI 96791",21.568622726599,-158.121779439261,provider
St. Michael's Church,Hawaii Foodbank,pantry,"Vidinha Stadium, Hoʻolako St., Līhuʻe, HI 96766",21.9725042,-159.355992,provider
St. Pius X Parish,Hawaii Foodbank,pantry,"2821 Lowrey Ave. Honolulu, HI 96822",21.311859003818,-157.80941293406,provider
St. Raphael's Church,Hawaii Foodbank,pantry,"3011 Hapa Rd., Kōloa, HI 96756",21.8941199,-159.4570801,provider
St. Rita's Church,Hawaii Foodbank,pantry,"89-318 Farrington Hwy. Waianae, HI 96792",21.377797647,-158.141447712308,provider
St. Stephen Episcopal Church @ Wahiawa United Methodist Church (Drive Thru & Walk Up),Hawaii Foodbank,produce,"1445 California Ave. Wahiawa, HI 96786",21.502951607471,-158.015102931615,provider
St. Stephen Episcopal Church @ Whitmore Community Center (Drive Thru & Walk Up),Hawaii Foodbank,produce,"1259 Whitmore Ave. Wahiawa, HI 96786",21.511118081495,-158.019570502473,provider
St. Timothy's Episcopal Church,Hawaii Foodbank,pantry,"98-939 Moanalua Rd. Aiea, HI 96701",21.387382084376,-157.944517530744,provider
St. Timothy's Episcopal Church,Hawaii Foodbank,meals,"98-939 Moanalua Rd. Aiea, HI 96701",21.387382084376,-157.944517530744,provider
St. William Church,Hawaii Foodbank,pantry,"5292-A Kuhio Hwy., Hanalei, HI 96714",22.2025136,-159.4993303,provider
Sts. Peter and Paul Church (Drive Thru & Walk Up),Hawaii Foodbank,produce,"800 Kaheka St. Honolulu, HI 96814",21.29353737597,-157.839282623065,provider
Su Gran Alabanza,Hawaii Foodbank,pantry,"701 N King St. Honolulu, HI 96817",21.32024102223,-157.866109295539,provider
Sunset Beach Christian Church,Hawaii Foodbank,pantry,"59-578 Kamehameha Hwy. Haleiwa, HI 96712",21.655480522517,-158.059017563884,provider
Surfing the Nations,Hawaii Foodbank,pantry,"64 Ohai St. Wahiawa, HI 96786",21.494745688099,-158.030065540545,provider
Surfing the Nations (Walk Up),Hawaii Foodbank,produce,"64 Ohai St. Wahiawa, HI 96786",21.494745688099,-158.030065540545,provider
Susannah Wesley Community Center,Hawaii Foodbank,pantry,"1117 Kaili St. Honolulu, HI 96819",21.332679967415,-157.876155954749,provider
Susannah Wesley Community Center (Walk Up),Hawaii Foodbank,produce,"1117 Kaili St. Honolulu, HI 96819",21.332679967415,-157.876155954749,provider
The Hanapēpē Salvation Army,Hawaii Foodbank,pantry,"4465 Puolo Rd. ,Hanapēpē, HI 96716",21.9071472,-159.5928761,provider
The Pantry by Feeding Hawaii Together By Appt Only.,Hawaii Foodbank,pantry,"2522 Rose St. Honolulu, HI 96819",21.342084798768,-157.880552268549,provider
The Parish of St. Clement,Hawaii Foodbank,pantry,"1515 Wilder Ave. Honolulu, HI 96822",21.303489209904,-157.834056361278,provider
The Radical Hale @ Kapolei High School (Drive Thru & Walk Up),Hawaii Foodbank,produce,"91-5007 Kapolei Pkwy. Kapolei, HI 96707",21.337292393667,-158.032496734214,provider
The Salvation Army Camp Homelani @ Kauluwela Corps,Hawaii Foodbank,meals,"296 N Vineyard Blvd. Honolulu, HI 96817",21.318197905789,-157.860575110285,provider
The Salvation Army Family Services Office,Hawaii Foodbank,pantry,"296 N Vineyard Blvd. Honolulu, HI 96817",21.318197905789,-157.860575110285,provider
The Salvation Army Kaneohe,Hawaii Foodbank,pantry,"45-175 Waikalua Rd. Kaneohe, HI 96744",21.414756543637,-157.794888315897,provider
Trinity Missionary Baptist Church,Hawaii Foodbank,produce,"3950 Paine Circle Honolulu, HI 96818",21.340004285815,-157.932117923428,provider
Voice of God Ministries By Appt Only.,Hawaii Foodbank,pantry,"233 Akamainui St. Mililani, HI 96789",21.477734007038,-158.020579005618,provider
Wahiawa 7th Day Adventist Church,Hawaii Foodbank,pantry,"1313 California Ave. Wahiawa, HI 96786",21.501513871255,-158.01851388721,provider
Waianae Baptist Church,Hawaii Foodbank,pantry,"85-131 Ala Hema St. Waianae, HI 96792",21.449157538901,-158.190248483972,provider
Waianae Wags Pet Food Only. By Appt Only.,Hawaii Foodbank,pantry,85-786 Farrington Hwy. Waianae HI 96792,21.447271246542,-158.188858874494,provider
Waikiki Community Center,Hawaii Foodbank,pantry,"310 Paoakalani Ave. Honolulu, HI 96816",21.2752810,-157.8202519,provider
Waikiki Community Center @ Kapiolani Community College (Walk Up),Hawaii Foodbank,produce,"4303 Diamond Head Rd. Honolulu, HI 96816",21.268094331918,-157.800405607361,provider
Waipahu Seventh-Day Adventist,Hawaii Foodbank,pantry,"94-902 Awanei St. Waipahu, HI 96797",21.382141717946,-158.001560852074,provider
Westside Christian Center - Assembly of God,Hawaii Foodbank,pantry,"8041 Kekaha Rd., Kekaha, HI 96752",21.973907,-159.7171946,provider
ʻElepaio Social Services For Kūpuna Only: Must be age 60+,Hawaii Foodbank,pantry,"Learning Center @ Maili 87-790 Kulauka St. Waianae, HI 96792",21.412,-158.176,manual
ʻElepaio Social Services For Kūpuna Only: Must be age 60+,Hawaii Foodbank,pantry,"Waianae Elementary 85-220 McArthur St. Waianae, HI 96792",21.444948740907,-158.182857814586,provider
ʻElepaio Social Services For Kūpuna Only: Must be age 60+,Hawaii Foodbank,pantry,"Hoa Aina O Makaha 87-766 Lahaina St. Waianae, HI 96792",21.412,-158.176,manual
ʻElepaio Social Services For Kūpuna Only: Must be age 60+,Hawaii Foodbank,pantry,"QLT Nanakuli 87-1876 Farrington Hwy. Waianae, HI 96792",21.389950684162,-158.154564599692,provider
ʻEleʻele Baptist Church,Hawaii Foodbank,pantry,"339 Mehana Rd., ʻEleʻele, HI 96705",21.9068517,-159.5800184,provider
ʻOhana Christian Fellowship,Hawaii Foodbank,pantry,"4531 Pouli St., Kapaʻa, HI 96746",22.0604137,-159.3231146,provider
Calvary Chapel South Maui Pantry,Maui Food Bank,pantry,"320 Ohukai Rd Ste. 420, Kihei",20.775357050436,-156.454011741271,provider
Child and Family Service,Maui Food Bank,pantry,"20A Ala Malama street, Kaunakakai",21.0906,-157.0206,manual
Christ the King Church Maui,Maui Food Bank,pantry,"20 West Wakea Avenue, Kahului",20.88474944142,-156.464731370711,provider
Compassion in Action (Faith in Jesus Church),Maui Food Bank,pantry,"432 Waiehu Beach Rd., Wailuku",20.906045635,-156.485728065374,provider
Da Market,Maui Food Bank,pantry,"48 Ulupono St. #101, Lahaina, HI 96761",20.885036482403,-156.67779591219,provider
Da Mobile Market: Door of Faith - Huelo,Maui Food Bank,produce,"11 Door of Faith Rd., Huelo",20.9040438,-156.2256543,provider
Da Mobile Market: Hāna LDS Church,Maui Food Bank,produce,"4836 Uakea Rd, Hāna",20.759432251973,-155.988258176534,provider
Da Mobile Market: Kenolio Street,Maui Food Bank,produce,"116 Nokahea Loop, Kihei",20.746,-156.451,manual
Da Mobile Market: Pukalani Church of the Nazarene (PukaNaz),Maui Food Bank,produce,"211 Hiwalani Lp, Pukalani",20.8420051,-156.3452512,provider
Door of Faith - Huelo,Maui Food Bank,pantry,"11 Door of Faith Rd., Huelo",20.9040438,-156.2256543,provider
Good Shepherd Episcopal Church,Maui Food Bank,meals,"2140 Main Street, Wailuku",20.887347217698,-156.503540064471,provider
Grace Church,Maui Food Bank,pantry,"A'apueo Parkway., Pukalani",20.8262,-156.3402,manual
Grace Episcopal Church Pantry,Maui Food Bank,pantry,"2210 Farington Ave, Ho'olehua",21.163310282879,-157.050703739332,provider
Hale Hulu Mamo,Maui Food Bank,pantry,"5101 Uakea Road Bldg G, Hāna",20.7600306,-155.9890013,provider
