"Date","Geography","Received","Approved"
"2020-05-13","Oahu",193,143
"2020-05-13","Kauai",26,17
"2020-05-13","East Hawaii",34,19
"2020-05-13","West Hawaii",40,29
"2020-05-13","Maui County",45,32
"2020-05-13","Statewide",338,240
"2020-05-14","Oahu",197,141
"2020-05-14","Kauai",26,20
"2020-05-14","East Hawaii",32,31
"2020-05-14","West Hawaii",18,20
"2020-05-14","Maui County",50,31
"2020-05-14","Statewide",323,243
"2020-05-15","Oahu",139,138
"2020-05-15","Kauai",23,19
"2020-05-15","East Hawaii",38,30
"2020-05-15","West Hawaii",22,22
"2020-05-15","Maui County",34,30
"2020-05-15","Statewide",256,239
"2020-05-17","Oahu",19,
"2020-05-17","Kauai",3,
"2020-05-17","East Hawaii",1,
"2020-05-17","West Hawaii",2,
"2020-05-17","Maui County",11,
"2020-05-17","Statewide",36,
"2020-05-18","Oahu",245,131
"2020-05-18","Kauai",30,19
"2020-05-18","East Hawaii",50,36
"2020-05-18","West Hawaii",44,21
"2020-05-18","Maui County",63,45
"2020-05-18","Statewide",432,252
"2020-05-19","Oahu",191,183
"2020-05-19","Kauai",25,23
"2020-05-19","East Hawaii",37,32
"2020-05-19","West Hawaii",27,31
"2020-05-19","Maui County",40,46
"2020-05-19","Statewide",320,315
"2020-05-20","Oahu",171,117
"2020-05-20","Kauai",20,13
"2020-05-20","East Hawaii",30,18
"2020-05-20","West Hawaii",16,15
"2020-05-20","Maui County",54,36
"2020-05-20","Statewide",291,199
"2020-05-21","Oahu",139,103
"2020-05-21","Kauai",17,17
"2020-05-21","East Hawaii",27,19
"2020-05-21","West Hawaii",27,12
"2020-05-21","Maui County",37,32
"2020-05-21","Statewide",247,183
"2020-05-22","Oahu",93,111
"2020-05-22","Kauai",20,14
"2020-05-22","East Hawaii",26,25
"2020-05-22","West Hawaii",22,18
"2020-05-22","Maui County",30,39
"2020-05-22","Statewide",191,207
"2020-05-24","Oahu",16,
"2020-05-24","Kauai",0,
"2020-05-24","East Hawaii",2,
"2020-05-24","West Hawaii",3,
"2020-05-24","Maui County",9,
"2020-05-24","Statewide",30,
"2020-05-25","Oahu",22,
"2020-05-25","Kauai",1,
"2020-05-25","East Hawaii",4,
"2020-05-25","West Hawaii",5,
"2020-05-25","Maui County",10,
"2020-05-25","Statewide",42,
"2020-05-26","Oahu",189,114
"2020-05-26","Kauai",25,18
"2020-05-26","East Hawaii",41,13
"2020-05-26","West Hawaii",28,20
"2020-05-26","Maui County",48,29
"2020-05-26","Statewide",331,194
"2020-05-27","Oahu",111,125
"2020-05-27","Kauai",9,12
"2020-05-27","East Hawaii",25,26
"2020-05-27","West Hawaii",20,28
"2020-05-27","Maui County",26,30
"2020-05-27","Statewide",191,221
"2020-05-28","Oahu",160,99
"2020-05-28","Kauai",14,11
"2020-05-28","East Hawaii",23,19
"2020-05-28","West Hawaii",22,10
"2020-05-28","Maui County",29,23
"2020-05-28","Statewide",248,162
"2020-05-29","Oahu",94,106
"2020-05-29","Kauai",15,8
"2020-05-29","East Hawaii",26,23
"2020-05-29","West Hawaii",18,20
"2020-05-29","Maui County",16,19
"2020-05-29","Statewide",169,176
"2020-05-31","Oahu",8,
"2020-05-31","Kauai",1,
"2020-05-31","East Hawaii",3,
"2020-05-31","West Hawaii",2,
"2020-05-31","Maui County",3,
"2020-05-31","Statewide",17,
"2020-06-01","Oahu",178,107
"2020-06-01","Kauai",22,13
"2020-06-01","East Hawaii",33,29
"2020-06-01","West Hawaii",21,19
"2020-06-01","Maui County",60,26
"2020-06-01","Statewide",314,194
"2020-06-02","Oahu",96,95
"2020-06-02","Kauai",12,10
"2020-06-02","East Hawaii",21,14
"2020-06-02","West Hawaii",19,16
"2020-06-02","Maui County",34,25
"2020-06-02","Statewide",182,160
"2020-06-03","Oahu",151,75
"2020-06-03","Kauai",15,5
"2020-06-03","East Hawaii",25,13
"2020-06-03","West Hawaii",18,15
"2020-06-03","Maui County",27,17
"2020-06-03","Statewide",236,125
"2020-06-04","Oahu",121,80
"2020-06-04","Kauai",23,12
"2020-06-04","East Hawaii",25,11
"2020-06-04","West Hawaii",18,9
"2020-06-04","Maui County",22,21
"2020-06-04","Statewide",209,133
"2020-06-05","Oahu",88,95
"2020-06-05","Kauai",12,11
"2020-06-05","East Hawaii",25,22
"2020-06-05","West Hawaii",15,7
"2020-06-05","Maui County",28,23
"2020-06-05","Statewide",168,158
"2020-06-07","Oahu",5,
"2020-06-07","Kauai",0,
"2020-06-07","East Hawaii",0,
"2020-06-07","West Hawaii",2,
"2020-06-07","Maui County",5,
"2020-06-07","Statewide",12,
"2020-06-08","Oahu",153,103
"2020-06-08","Kauai",21,12
"2020-06-08","East Hawaii",35,27
"2020-06-08","West Hawaii",28,24
"2020-06-08","Maui County",42,24
"2020-06-08","Statewide",279,190
"2020-06-09","Oahu",113,78
"2020-06-09","Kauai",15,9
"2020-06-09","East Hawaii",25,22
"2020-06-09","West Hawaii",12,12
"2020-06-09","Maui County",28,26
"2020-06-09","Statewide",193,147
"2020-06-10","Oahu",112,84
"2020-06-10","Kauai",13,4
"2020-06-10","East Hawaii",34,15
"2020-06-10","West Hawaii",15,17
"2020-06-10","Maui County",41,22
"2020-06-10","Statewide",215,142
"2020-06-11","Oahu",6,
"2020-06-11","Kauai",0,
"2020-06-11","East Hawaii",0,
"2020-06-11","West Hawaii",4,
"2020-06-11","Maui County",6,
"2020-06-11","Statewide",16,
"2020-06-12","Oahu",78,75
"2020-06-12","Kauai",10,10
"2020-06-12","East Hawaii",28,21
"2020-06-12","West Hawaii",18,8
"2020-06-12","Maui County",23,19
"2020-06-12","Statewide",157,133
"2020-06-14","Oahu",0,
"2020-06-14","Kauai",0,
"2020-06-14","East Hawaii",0,
"2020-06-14","West Hawaii",2,
"2020-06-14","Maui County",2,
"2020-06-14","Statewide",4,
"2020-06-15","Oahu",287,200
"2020-06-15","Kauai",25,19
"2020-06-15","East Hawaii",40,51
"2020-06-15","West Hawaii",34,30
"2020-06-15","Maui County",69,36
"2020-06-15","Statewide",455,336
"2020-06-16","Oahu",181,221
"2020-06-16","Kauai",11,10
"2020-06-16","East Hawaii",53,51
"2020-06-16","West Hawaii",29,25
"2020-06-16","Maui County",35,52
"2020-06-16","Statewide",309,359
"2020-06-17","Oahu",138,348
"2020-06-17","Kauai",21,17
"2020-06-17","East Hawaii",25,66
"2020-06-17","West Hawaii",22,30
"2020-06-17","Maui County",22,41
"2020-06-17","Statewide",228,502
"2020-06-18","Oahu",172,375
"2020-06-18","Kauai",13,23
"2020-06-18","East Hawaii",27,50
"2020-06-18","West Hawaii",33,22
"2020-06-18","Maui County",35,49
"2020-06-18","Statewide",280,519
"2020-06-19","Oahu",137,258
"2020-06-19","Kauai",21,26
"2020-06-19","East Hawaii",28,53
"2020-06-19","West Hawaii",19,26
"2020-06-19","Maui County",31,40
"2020-06-19","Statewide",236,403
"2020-06-21","Oahu",0,
"2020-06-21","Kauai",0,
"2020-06-21","East Hawaii",0,
"2020-06-21","West Hawaii",1,
"2020-06-21","Maui County",1,
"2020-06-21","Statewide",2,
"2020-06-22","Oahu",267,317
"2020-06-22","Kauai",31,31
"2020-06-22","East Hawaii",42,88
"2020-06-22","West Hawaii",36,51
"2020-06-22","Maui County",47,64
"2020-06-22","Statewide",423,551
"2020-06-23","Oahu",183,298
"2020-06-23","Kauai",15,15
"2020-06-23","East Hawaii",23,106
"2020-06-23","West Hawaii",28,44
"2020-06-23","Maui County",39,55
"2020-06-23","Statewide",288,518
"2020-06-24","Oahu",183,319
"2020-06-24","Kauai",16,29
"2020-06-24","East Hawaii",28,63
"2020-06-24","West Hawaii",32,48
"2020-06-24","Maui County",52,54
"2020-06-24","Statewide",311,513
"2020-06-25","Oahu",182,297
"2020-06-25","Kauai",23,27
"2020-06-25","East Hawaii",31,84
"2020-06-25","West Hawaii",16,37
"2020-06-25","Maui County",35,58
"2020-06-25","Statewide",287,503
"2020-06-26","Oahu",106,324
"2020-06-26","Kauai",18,17
"2020-06-26","East Hawaii",13,81
"2020-06-26","West Hawaii",17,49
"2020-06-26","Maui County",28,50
"2020-06-26","Statewide",182,521
"2020-06-28","Oahu",1,
"2020-06-28","Kauai",0,
"2020-06-28","East Hawaii",0,
"2020-06-28","West Hawaii",0,
"2020-06-28","Maui County",0,
"2020-06-28","Statewide",1,
"2020-06-29","Oahu",295,261
"2020-06-29","Kauai",32,36
"2020-06-29","East Hawaii",63,86
"2020-06-29","West Hawaii",44,26
"2020-06-29","Maui County",78,71
"2020-06-29","Statewide",512,480
"2020-06-30","Oahu",216,225
"2020-06-30","Kauai",19,13
"2020-06-30","East Hawaii",39,59
"2020-06-30","West Hawaii",31,31
"2020-06-30","Maui County",49,43
"2020-06-30","Statewide",354,371
"2020-07-01","Oahu",185,156
"2020-07-01","Kauai",17,15
"2020-07-01","East Hawaii",43,39
"2020-07-01","West Hawaii",31,22
"2020-07-01","Maui County",56,52
"2020-07-01","Statewide",332,284
"2020-07-02","Oahu",156,102
"2020-07-02","Kauai",18,11
"2020-07-02","East Hawaii",33,29
"2020-07-02","West Hawaii",15,12
"2020-07-02","Maui County",41,20
"2020-07-02","Statewide",263,174
"2020-07-06","Oahu",381,107
"2020-07-06","Kauai",45,6
"2020-07-06","East Hawaii",78,28
"2020-07-06","West Hawaii",56,17
"2020-07-06","Maui County",97,18
"2020-07-06","Statewide",657,176
"2020-07-07","Oahu",180,112
"2020-07-07","Kauai",22,17
"2020-07-07","East Hawaii",36,28
"2020-07-07","West Hawaii",30,16
"2020-07-07","Maui County",45,24
"2020-07-07","Statewide",313,197
"2020-07-08","Oahu",192,108
"2020-07-08","Kauai",29,12
"2020-07-08","East Hawaii",52,32
"2020-07-08","West Hawaii",31,13
"2020-07-08","Maui County",55,25
"2020-07-08","Statewide",359,190
"2020-07-09","Oahu",188,225
"2020-07-09","Kauai",14,26
"2020-07-09","East Hawaii",33,66
"2020-07-09","West Hawaii",25,40
"2020-07-09","Maui County",42,60
"2020-07-09","Statewide",302,417
"2020-07-10","Oahu",141,184
"2020-07-10","Kauai",6,16
"2020-07-10","East Hawaii",20,54
"2020-07-10","West Hawaii",15,25
"2020-07-10","Maui County",25,28
"2020-07-10","Statewide",207,307
"2020-07-12","Oahu",1,
"2020-07-12","Kauai",0,
"2020-07-12","East Hawaii",0,
"2020-07-12","West Hawaii",0,
"2020-07-12","Maui County",0,
"2020-07-12","Statewide",1,
"2020-07-13","Oahu",291,193
"2020-07-13","Kauai",30,21
"2020-07-13","East Hawaii",56,47
"2020-07-13","West Hawaii",50,19
"2020-07-13","Maui County",81,40
"2020-07-13","Statewide",508,320
"2020-07-14","Oahu",146,187
"2020-07-14","Kauai",11,16
"2020-07-14","East Hawaii",35,64
"2020-07-14","West Hawaii",35,29
"2020-07-14","Maui County",43,43
"2020-07-14","Statewide",270,339
"2020-07-15","Oahu",159,179
"2020-07-15","Kauai",15,12
"2020-07-15","East Hawaii",35,35
"2020-07-15","West Hawaii",25,20
"2020-07-15","Maui County",52,34
"2020-07-15","Statewide",286,280
"2020-07-16","Oahu",161,126
"2020-07-16","Kauai",22,14
"2020-07-16","East Hawaii",21,37
"2020-07-16","West Hawaii",22,20
"2020-07-16","Maui County",38,32
"2020-07-16","Statewide",264,229
"2020-07-17","Oahu",118,200
"2020-07-17","Kauai",16,14
"2020-07-17","East Hawaii",24,42
"2020-07-17","West Hawaii",27,28
"2020-07-17","Maui County",40,23
"2020-07-17","Statewide",225,307
"2020-07-20","Oahu",286,175
"2020-07-20","Kauai",42,24
"2020-07-20","East Hawaii",47,64
"2020-07-20","West Hawaii",44,28
"2020-07-20","Maui County",76,40
"2020-07-20","Statewide",495,331
"2020-07-21","Oahu",148,203
"2020-07-21","Kauai",19,13
"2020-07-21","East Hawaii",27,43
"2020-07-21","West Hawaii",24,22
"2020-07-21","Maui County",44,39
"2020-07-21","Statewide",262,320
"2020-07-22","Oahu",138,214
"2020-07-22","Kauai",15,28
"2020-07-22","East Hawaii",37,72
"2020-07-22","West Hawaii",16,19
"2020-07-22","Maui County",51,41
"2020-07-22","Statewide",257,374
"2020-07-23","Oahu",137,227
"2020-07-23","Kauai",22,24
"2020-07-23","East Hawaii",30,64
"2020-07-23","West Hawaii",18,29
"2020-07-23","Maui County",40,48
"2020-07-23","Statewide",247,392
"2020-07-24","Oahu",83,246
"2020-07-24","Kauai",10,10
"2020-07-24","East Hawaii",14,53
"2020-07-24","West Hawaii",9,28
"2020-07-24","Maui County",20,44
"2020-07-24","Statewide",136,381
"2020-07-27","Oahu",165,46
"2020-07-27","Kauai",17,3
"2020-07-27","East Hawaii",47,34
"2020-07-27","West Hawaii",38,19
"2020-07-27","Maui County",60,20
"2020-07-27","Statewide",327,122
"2020-07-28","Oahu",96,217
"2020-07-28","Kauai",11,25
"2020-07-28","East Hawaii",26,69
"2020-07-28","West Hawaii",16,28
"2020-07-28","Maui County",23,37
"2020-07-28","Statewide",172,376
"2020-07-29","Oahu",72,219
"2020-07-29","Kauai",15,22
"2020-07-29","East Hawaii",15,64
"2020-07-29","West Hawaii",7,25
"2020-07-29","Maui County",19,47
"2020-07-29","Statewide",128,377
"2020-07-30","Oahu",79,238
"2020-07-30","Kauai",16,30
"2020-07-30","East Hawaii",18,54
"2020-07-30","West Hawaii",14,26
"2020-07-30","Maui County",31,30
"2020-07-30","Statewide",158,378
"2020-07-31","Oahu",97,207
"2020-07-31","Kauai",16,15
"2020-07-31","East Hawaii",22,59
"2020-07-31","West Hawaii",14,20
"2020-07-31","Maui County",22,33
"2020-07-31","Statewide",171,334
"2020-08-02","Oahu",0,
"2020-08-02","Kauai",0,
"2020-08-02","East Hawaii",0,
"2020-08-02","West Hawaii",0,
"2020-08-02","Maui County",1,
"2020-08-02","Statewide",1,
"2020-08-03","Oahu",254,205
"2020-08-03","Kauai",46,19
"2020-08-03","East Hawaii",73,75
"2020-08-03","West Hawaii",38,26
"2020-08-03","Maui County",84,40
"2020-08-03","Statewide",495,365
"2020-08-04","Oahu",175,217
"2020-08-04","Kauai",28,17
"2020-08-04","East Hawaii",37,93
"2020-08-04","West Hawaii",30,46
"2020-08-04","Maui County",52,55
"2020-08-04","Statewide",322,428
"2020-08-05","Oahu",191,219
"2020-08-05","Kauai",29,16
"2020-08-05","East Hawaii",38,70
"2020-08-05","West Hawaii",28,35
"2020-08-05","Maui County",60,52
"2020-08-05","Statewide",346,392
"2020-08-06","Oahu",183,257
"2020-08-06","Kauai",34,25
"2020-08-06","East Hawaii",29,65
"2020-08-06","West Hawaii",24,33
"2020-08-06","Maui County",39,42
"2020-08-06","Statewide",309,422
"2020-08-07","Oahu",115,202
"2020-08-07","Kauai",18,26
"2020-08-07","East Hawaii",38,47
"2020-08-07","West Hawaii",19,29
"2020-08-07","Maui County",13,41
"2020-08-07","Statewide",203,345
"2020-08-09","Oahu",1,
"2020-08-09","Kauai",0,
"2020-08-09","East Hawaii",0,
"2020-08-09","West Hawaii",0,
"2020-08-09","Maui County",0,
"2020-08-09","Statewide",1,
"2020-08-10","Oahu",255,216
"2020-08-10","Kauai",43,36
"2020-08-10","East Hawaii",68,75
"2020-08-10","West Hawaii",36,27
"2020-08-10","Maui County",64,42
"2020-08-10","Statewide",466,396
"2020-08-11","Oahu",157,341
"2020-08-11","Kauai",24,31
"2020-08-11","East Hawaii",42,89
"2020-08-11","West Hawaii",18,75
"2020-08-11","Maui County",46,100
"2020-08-11","Statewide",287,636
"2020-08-12","Oahu",159,283
"2020-08-12","Kauai",16,33
"2020-08-12","East Hawaii",27,73
"2020-08-12","West Hawaii",12,61
"2020-08-12","Maui County",44,74
"2020-08-12","Statewide",258,524
"2020-08-13","Oahu",110,281
"2020-08-13","Kauai",19,36
"2020-08-13","East Hawaii",30,99
"2020-08-13","West Hawaii",15,37
"2020-08-13","Maui County",42,64
"2020-08-13","Statewide",216,517
"2020-08-14","Oahu",142,215
"2020-08-14","Kauai",20,50
"2020-08-14","East Hawaii",31,66
"2020-08-14","West Hawaii",16,28
"2020-08-14","Maui County",32,44
"2020-08-14","Statewide",241,403
"2020-08-15","Oahu",15,232
"2020-08-15","Kauai",1,24
"2020-08-15","East Hawaii",0,73
"2020-08-15","West Hawaii",0,34
"2020-08-15","Maui County",1,63
"2020-08-15","Statewide",17,426
"2020-08-16","Oahu",1,
"2020-08-16","Kauai",0,
"2020-08-16","East Hawaii",1,
"2020-08-16","West Hawaii",0,
"2020-08-16","Maui County",0,
"2020-08-16","Statewide",2,
"2020-08-17","Oahu",409,290
"2020-08-17","Kauai",81,31
"2020-08-17","East Hawaii",88,75
"2020-08-17","West Hawaii",58,43
"2020-08-17","Maui County",123,43
"2020-08-17","Statewide",759,482
"2020-08-18","Oahu",276,243
"2020-08-18","Kauai",43,41
"2020-08-18","East Hawaii",40,78
"2020-08-18","West Hawaii",45,36
"2020-08-18","Maui County",80,55
"2020-08-18","Statewide",484,453
"2020-08-19","Oahu",226,289
"2020-08-19","Kauai",28,31
"2020-08-19","East Hawaii",48,78
"2020-08-19","West Hawaii",36,29
"2020-08-19","Maui County",67,65
"2020-08-19","Statewide",405,492
"2020-08-20","Oahu",222,244
"2020-08-20","Kauai",36,29
"2020-08-20","East Hawaii",45,81
"2020-08-20","West Hawaii",38,37
"2020-08-20","Maui County",80,70
"2020-08-20","Statewide",421,461
"2020-08-21","Oahu",2,
"2020-08-21","Kauai",0,
"2020-08-21","East Hawaii",0,
"2020-08-21","West Hawaii",1,
"2020-08-21","Maui County",0,
"2020-08-21","Statewide",3,
"2020-08-22","Oahu",1,
"2020-08-22","Kauai",0,
"2020-08-22","East Hawaii",0,
"2020-08-22","West Hawaii",0,
"2020-08-22","Maui County",0,
"2020-08-22","Statewide",1,
"2020-08-23","Oahu",1,
"2020-08-23","Kauai",0,
"2020-08-23","East Hawaii",0,
"2020-08-23","West Hawaii",0,
"2020-08-23","Maui County",0,
"2020-08-23","Statewide",1,
"2020-08-24","Oahu",555,243
"2020-08-24","Kauai",57,30
"2020-08-24","East Hawaii",115,74
"2020-08-24","West Hawaii",75,56
"2020-08-24","Maui County",194,57
"2020-08-24","Statewide",996,460
"2020-08-25","Oahu",244,241
"2020-08-25","Kauai",42,31
"2020-08-25","East Hawaii",49,96
"2020-08-25","West Hawaii",32,37
"2020-08-25","Maui County",81,68
"2020-08-25","Statewide",448,473
"2020-08-26","Oahu",261,246
"2020-08-26","Kauai",37,31
"2020-08-26","East Hawaii",41,84
"2020-08-26","West Hawaii",34,22
"2020-08-26","Maui County",75,74
"2020-08-26","Statewide",448,457
"2020-08-27","Oahu",215,258
"2020-08-27","Kauai",31,24
"2020-08-27","East Hawaii",31,54
"2020-08-27","West Hawaii",28,26
"2020-08-27","Maui County",56,52
"2020-08-27","Statewide",361,414
"2020-08-28","Oahu",233,198
"2020-08-28","Kauai",24,15
"2020-08-28","East Hawaii",43,43
"2020-08-28","West Hawaii",27,25
"2020-08-28","Maui County",59,54
"2020-08-28","Statewide",386,335
"2020-08-29","Oahu",0,
"2020-08-29","Kauai",0,
"2020-08-29","East Hawaii",0,
"2020-08-29","West Hawaii",0,
"2020-08-29","Maui County",2,
"2020-08-29","Statewide",2,
"2020-08-30","Oahu",3,
"2020-08-30","Kauai",0,
"2020-08-30","East Hawaii",0,
"2020-08-30","West Hawaii",1,
"2020-08-30","Maui County",0,
"2020-08-30","Statewide",4,
"2020-08-31","Oahu",446,384
"2020-08-31","Kauai",62,39
"2020-08-31","East Hawaii",91,99
"2020-08-31","West Hawaii",61,43
"2020-08-31","Maui County",121,70
"2020-08-31","Statewide",781,635
"2020-09-01","Oahu",291,336
"2020-09-01","Kauai",44,31
"2020-09-01","East Hawaii",68,88
"2020-09-01","West Hawaii",46,34
"2020-09-01","Maui County",70,103
"2020-09-01","Statewide",519,592
"2020-09-02","Oahu",258,253
"2020-09-02","Kauai",27,26
"2020-09-02","East Hawaii",60,59
"2020-09-02","West Hawaii",30,33
"2020-09-02","Maui County",58,62
"2020-09-02","Statewide",433,433
"2020-09-03","Oahu",239,288
"2020-09-03","Kauai",34,27
"2020-09-03","East Hawaii",68,71
"2020-09-03","West Hawaii",31,32
"2020-09-03","Maui County",56,50
"2020-09-03","Statewide",428,468
"2020-09-04","Oahu",258,231
"2020-09-04","Kauai",35,22
"2020-09-04","East Hawaii",68,74
"2020-09-04","West Hawaii",45,34
"2020-09-04","Maui County",77,52
"2020-09-04","Statewide",483,413
"2020-09-05","Oahu",2,
"2020-09-05","Kauai",1,
"2020-09-05","East Hawaii",0,
"2020-09-05","West Hawaii",0,
"2020-09-05","Maui County",0,
"2020-09-05","Statewide",3,
"2020-09-06","Oahu",1,
"2020-09-06","Kauai",0,
"2020-09-06","East Hawaii",0,
"2020-09-06","West Hawaii",0,
"2020-09-06","Maui County",0,
"2020-09-06","Statewide",1,
"2020-09-07","Oahu",2,
"2020-09-07","Kauai",0,
"2020-09-07","East Hawaii",0,
"2020-09-07","West Hawaii",2,
"2020-09-07","Maui County",0,
"2020-09-07","Statewide",4,
"2020-09-08","Oahu",619,197
"2020-09-08","Kauai",68,33
"2020-09-08","East Hawaii",145,54
"2020-09-08","West Hawaii",82,16
"2020-09-08","Maui County",155,41
"2020-09-08","Statewide",1069,341
"2020-09-09","Oahu",312,241
"2020-09-09","Kauai",38,34
"2020-09-09","East Hawaii",82,58
"2020-09-09","West Hawaii",47,22
"2020-09-09","Maui County",70,43
"2020-09-09","Statewide",549,398
"2020-09-10","Oahu",277,575
"2020-09-10","Kauai",37,53
"2020-09-10","East Hawaii",72,119
"2020-09-10","West Hawaii",51,131
"2020-09-10","Maui County",88,112
"2020-09-10","Statewide",525,990
"2020-09-11","Oahu",300,418
"2020-09-11","Kauai",36,41
"2020-09-11","East Hawaii",47,87
"2020-09-11","West Hawaii",39,50
"2020-09-11","Maui County",78,78
"2020-09-11","Statewide",500,674
"2020-09-12","Oahu",1,
"2020-09-12","Kauai",0,
"2020-09-12","East Hawaii",0,
"2020-09-12","West Hawaii",0,
"2020-09-12","Maui County",0,
"2020-09-12","Statewide",1,
"2020-09-14","Oahu",380,268
"2020-09-14","Kauai",51,55
"2020-09-14","East Hawaii",77,83
"2020-09-14","West Hawaii",69,52
"2020-09-14","Maui County",99,67
"2020-09-14","Statewide",676,525
"2020-09-15","Oahu",279,255
"2020-09-15","Kauai",36,39
"2020-09-15","East Hawaii",57,64
"2020-09-15","West Hawaii",27,39
"2020-09-15","Maui County",74,66
"2020-09-15","Statewide",473,463
"2020-09-16","Oahu",297,228
"2020-09-16","Kauai",28,21
"2020-09-16","East Hawaii",46,60
"2020-09-16","West Hawaii",32,41
"2020-09-16","Maui County",79,50
"2020-09-16","Statewide",482,400
"2020-09-17","Oahu",261,244
"2020-09-17","Kauai",39,41
"2020-09-17","East Hawaii",43,61
"2020-09-17","West Hawaii",35,48
"2020-09-17","Maui County",64,64
"2020-09-17","Statewide",442,458
"2020-09-18","Oahu",298,346
"2020-09-18","Kauai",22,46
"2020-09-18","East Hawaii",52,93
"2020-09-18","West Hawaii",35,56
"2020-09-18","Maui County",74,83
"2020-09-18","Statewide",481,624
"2020-09-19","Oahu",2,1
"2020-09-19","Kauai",0,0
"2020-09-19","East Hawaii",0,1
"2020-09-19","West Hawaii",0,0
"2020-09-19","Maui County",0,0
"2020-09-19","Statewide",2,2
"2020-09-20","Oahu",6,
"2020-09-20","Kauai",1,
"2020-09-20","East Hawaii",1,
"2020-09-20","West Hawaii",0,
"2020-09-20","Maui County",0,
"2020-09-20","Statewide",8,
"2020-09-21","Oahu",444,420
"2020-09-21","Kauai",45,53
"2020-09-21","East Hawaii",95,95
"2020-09-21","West Hawaii",62,101
"2020-09-21","Maui County",141,112
"2020-09-21","Statewide",787,781
"2020-09-22","Oahu",259,447
"2020-09-22","Kauai",45,64
"2020-09-22","East Hawaii",47,128
"2020-09-22","West Hawaii",32,64
"2020-09-22","Maui County",74,89
"2020-09-22","Statewide",457,792
"2020-09-23","Oahu",250,329
"2020-09-23","Kauai",33,47
"2020-09-23","East Hawaii",36,95
"2020-09-23","West Hawaii",35,56
"2020-09-23","Maui County",71,70
"2020-09-23","Statewide",425,597
"2020-09-24","Oahu",214,270
"2020-09-24","Kauai",23,50
"2020-09-24","East Hawaii",37,89
"2020-09-24","West Hawaii",42,42
"2020-09-24","Maui County",57,62
"2020-09-24","Statewide",373,513
"2020-09-25","Oahu",192,262
