Date,ApplicationsReceived,TotalDispositions,TimelyDispositions,PercentTimely
2019-02-01,3479,3465,3353,0.968
2019-03-01,5039,4801,4708,0.981
2019-04-01,5425,5259,5125,0.975
2019-05-01,5428,5448,5293,0.972
2019-06-01,5000,4858,4675,0.962
2019-07-01,5819,5659,5430,0.96
2019-08-01,5552,5536,5267,0.951
2019-09-01,5279,5308,5031,0.948
2019-10-01,5706,5856,5502,0.94
2019-11-01,4806,5026,4745,0.944
2019-12-01,4822,5073,4858,0.958
2020-01-01,5426,5270,5117,0.971
2020-02-01,4412,4460,4339,0.973
2020-03-01,7106,5547,5426,0.978
2020-04-01,13370,14100,13764,0.976
2020-05-01,7524,8498,8258,0.972
2020-06-01,6236,5721,5513,0.964
2020-07-01,6946,5481,5266,0.961
2021-10-01,8041,8262,7141,0.864
2021-11-01,8560,7593,6069,0.799
2021-12-01,7457,8984,5909,0.658
2022-01-01,8154,8764,4940,0.564
2022-02-01,7262,8465,6101,0.721
2022-03-01,7999,9110,7154,0.785
2022-04-01,7295,7663,6436,0.84
2022-05-01,7991,7754,6819,0.879
2022-06-01,8524,7673,6866,0.895
2022-07-01,8954,8310,7471,0.899
2022-08-01,9638,9804,8708,0.888
2022-09-01,8084,8944,7797,0.872
2023-08-01,10564,10059,8024,0.798
2023-10-01,6783,9056,7502,0.828
2023-11-01,5418,5881,4906,0.834
2023-12-01,5949,6210,5491,0.884
2024-01-01,8351,6751,5846,0.866
2024-02-01,7070,7519,6618,0.88
2024-03-01,7024,7411,6223,0.84
2024-04-01,8506,8604,7368,0.856
2024-05-01,7575,8518,7146,0.839
2024-06-01,7213,7338,6270,0.854
2024-07-01,8749,8399,7334,0.873
2024-08-01,8910,8466,7391,0.873
2024-09-01,8000,8901,7457,0.838
2025-10-01,6694,7916,7213,0.911
2025-11-01,5609,5162,4465,0.865
2025-12-01,6529,6967,6225,0.893
2026-01-01,7734,6700,5771,0.861
2026-02-01,6577,7045,6060,0.86
2026-03-01,7779,7449,6428,0.863
2026-04-01,7783,8179,7215,0.882
2026-05-01,6742,7408,6548,0.884
